GAS,ID,MARKET_DOMAIN_DESCR,MOD_VOLUME_CONSUMPTION,Sum of Sales_CR,TIMESTAMP - Month,TIMESTAMP - Year,ZIPcode,new_GAS,new_MARKET_DOMAIN_DESCR,new_TIMESTAMP - Month
OX,15.0,Others,4418.990766,0.148744522,December,2015,1098.0,3,5,2
OX,15.0,Others,45856.219939999995,0.148744522,December,2016,1098.0,3,5,2
NI,19.0,Chemicals,8886.312726,1.311563185,December,2015,6099.0,2,1,2
NI,19.0,Chemicals,19603.78632,1.311563185,December,2016,6099.0,2,1,2
NI,48.0,A&F,209372.2318,-0.13991210699999998,December,2015,4692.0,2,0,2
NI,50.0,T&R,211838.633,-0.216252387,December,2015,1386.0,2,6,2
NI,58.0,F&P,10642.50907,-0.5493979520000001,December,2015,1284.0,2,2,2
NI,58.0,F&P,38539.66009,-0.5493979520000001,December,2016,1284.0,2,2,2
AR,66.0,Others,84946.89367,2.20539035,December,2015,5288.0,0,5,2
AR,66.0,Others,461496.698,2.20539035,December,2016,5288.0,0,5,2
NI,103.0,T&R,110323.1966,-0.248480234,December,2015,5690.0,2,6,2
NI,133.0,F&P,9672.31941,-0.48359058200000005,December,2015,6373.0,2,2,2
NI,133.0,F&P,65194.49335,-0.48359058200000005,December,2016,6373.0,2,2,2
NI,144.0,Others,47676.04176,0.44793793,December,2015,1098.0,2,5,2
NI,145.0,T&R,77694.71497,1.528726399,December,2015,3492.0,2,6,2
NI,148.0,T&R,158653.5083,-0.388741622,December,2015,5287.0,2,6,2
NI,148.0,T&R,464357.1071,-0.388741622,December,2016,5287.0,2,6,2
NI,178.0,T&R,4217.3113920000005,0.398252362,December,2015,3492.0,2,6,2
NI,178.0,T&R,48760.3221,0.398252362,December,2016,3492.0,2,6,2
NI,219.0,A&F,30438.51698,-0.13991210699999998,December,2015,4692.0,2,0,2
NI,228.0,T&R,65109.627,-0.5064954770000001,December,2015,6291.0,2,6,2
NI,240.0,T&R,13902.62475,-0.5570986960000001,December,2015,0.0,2,6,2
NI,244.0,Others,26894.57775,-0.510435148,December,2015,4988.0,2,5,2
NI,244.0,Others,174501.2767,-0.510435148,December,2016,4988.0,2,5,2
NI,270.0,T&R,8252.168688,-0.388741622,December,2015,5287.0,2,6,2
NI,270.0,T&R,26239.39147,-0.388741622,December,2016,5287.0,2,6,2
OX,272.0,MD,5332.5065700000005,-0.475529975,December,2015,5746.0,3,4,2
OX,272.0,MD,27784.370069999997,-0.475529975,December,2016,5746.0,3,4,2
NI,278.0,T&R,8653.680801999999,-0.47158435299999996,December,2015,1399.0,2,6,2
NI,288.0,F&P,75285.29375,-0.551440209,December,2015,7389.0,2,2,2
NI,288.0,F&P,115663.8549,-0.551440209,December,2016,7389.0,2,2,2
NI,343.0,T&R,205635.6428,0.544737119,December,2015,3492.0,2,6,2
NI,345.0,T&R,152606.1109,1.528726399,December,2015,3492.0,2,6,2
NI,345.0,T&R,443107.3802,1.528726399,December,2016,3492.0,2,6,2
NI,348.0,T&R,677045.2802,0.84524383,December,2015,7687.0,2,6,2
NI,348.0,T&R,910953.5169,0.84524383,December,2016,7687.0,2,6,2
NI,361.0,T&R,622768.1351,-0.072595609,December,2015,0.0,2,6,2
CB,370.0,T&R,1315.181935,-0.595282627,December,2015,1098.0,1,6,2
CB,370.0,T&R,382064.8452,-0.595282627,December,2016,1098.0,1,6,2
OX,378.0,F&P,29657.39357,-0.48359058200000005,December,2015,6373.0,3,2,2
OX,378.0,F&P,43968.31032,-0.48359058200000005,December,2016,6373.0,3,2,2
NI,403.0,T&R,667970.7738,-0.04274655,December,2015,0.0,2,6,2
NI,440.0,F&P,389381.6534,0.39379728,December,2015,6374.0,2,2,2
NI,440.0,F&P,2421271.527,0.39379728,December,2016,6374.0,2,2,2
CB,441.0,F&P,1846.32,-0.596043488,December,2015,6374.0,1,2,2
CB,441.0,F&P,53022.04,-0.596043488,December,2016,6374.0,1,2,2
NI,455.0,Others,20530.12133,0.148744522,December,2015,1098.0,2,5,2
CB,460.0,F&P,9313.24,-0.600047373,December,2015,6373.0,1,2,2
CB,460.0,F&P,12180.06,-0.600047373,December,2016,6373.0,1,2,2
NI,518.0,M&E,42108.23838,-0.570296751,December,2015,6375.0,2,3,2
NI,520.0,T&R,350112.5381,0.922319133,December,2015,1190.0,2,6,2
NI,532.0,T&R,152842.8645,4.276620451,December,2015,7574.0,2,6,2
NI,540.0,T&R,117482.4912,1.904847873,December,2015,7684.0,2,6,2
NI,560.0,A&F,265669.1151,-0.409902106,December,2016,4987.0,2,0,2
NI,560.0,A&F,293886.0847,-0.409902106,December,2015,4987.0,2,0,2
NI,562.0,A&F,208513.0458,-0.43120708399999996,December,2015,6277.0,2,0,2
NI,590.0,T&R,32163.5538,-0.504896735,December,2015,7382.0,2,6,2
AR,612.0,A&F,108746.4624,-0.337577921,December,2015,7975.0,0,0,2
AR,612.0,A&F,135521.8134,-0.337577921,December,2016,7975.0,0,0,2
NI,622.0,M&E,318099.1523,0.126202049,December,2015,986.0,2,3,2
NI,644.0,A&F,61076.43516,0.110949466,December,2015,4692.0,2,0,2
NI,644.0,A&F,498283.617,0.110949466,December,2016,4692.0,2,0,2
NI,658.0,T&R,201270.611,-0.218889833,December,2015,7684.0,2,6,2
NI,671.0,T&R,164445.7531,4.276620451,December,2015,7574.0,2,6,2
NI,747.0,M&E,91916.91689,-0.31988600899999997,December,2015,897.0,2,3,2
CB,766.0,T&R,2997.250769,-0.599049996,December,2015,7392.0,1,6,2
CB,766.0,T&R,3687.93,-0.599049996,December,2016,7392.0,1,6,2
NI,772.0,M&E,32492.46833,-0.563647915,December,2015,791.0,2,3,2
OX,780.0,Others,381.5120933,-0.592797347,December,2015,1098.0,3,5,2
OX,780.0,Others,4689.755992,-0.592797347,December,2016,1098.0,3,5,2
CB,873.0,M&E,93406.36563,-0.5482839620000001,December,2015,6099.0,1,3,2
CB,873.0,M&E,693917.3352,-0.5482839620000001,December,2016,6099.0,1,3,2
NI,920.0,F&P,2964.621266,-0.51263139,December,2015,1174.0,2,2,2
NI,920.0,F&P,34908.87197,-0.51263139,December,2016,1174.0,2,2,2
NI,925.0,T&R,120663.0125,0.149272784,December,2015,5696.0,2,6,2
NI,925.0,T&R,860145.7578,0.149272784,December,2016,5696.0,2,6,2
NI,955.0,T&R,95958.27173,-0.119736566,December,2015,1182.0,2,6,2
NI,955.0,T&R,336233.7292,-0.119736566,December,2016,1182.0,2,6,2
NI,983.0,A&F,34819.90196,-0.409902106,December,2016,4987.0,2,0,2
NI,983.0,A&F,37326.8183,-0.409902106,December,2015,4987.0,2,0,2
NI,994.0,M&E,98415.89211,-0.445163105,December,2015,6275.0,2,3,2
NI,994.0,M&E,320822.6586,-0.445163105,December,2016,6275.0,2,3,2
NI,1009.0,T&R,13586.59411,-0.47158435299999996,December,2015,1399.0,2,6,2
OX,1030.0,A&F,23194.1124,-0.5190491279999999,December,2015,992.0,3,0,2
OX,1031.0,A&F,44315.8719,-0.481100818,December,2015,992.0,3,0,2
CB,1032.0,A&F,48879.2496,-0.597714245,December,2015,992.0,1,0,2
CB,1032.0,A&F,940510.5731,-0.597714245,December,2016,992.0,1,0,2
CB,1033.0,A&F,75825.6306,-0.597714245,December,2015,992.0,1,0,2
CB,1033.0,A&F,991214.7429,-0.597714245,December,2016,992.0,1,0,2
NI,1035.0,T&R,18730.95709,1.904847873,December,2015,7684.0,2,6,2
NI,1039.0,F&P,209735.2938,-0.525729332,December,2015,6373.0,2,2,2
NI,1039.0,F&P,358113.667,-0.525729332,December,2016,6373.0,2,2,2
CB,1042.0,M&E,64404.181829999994,-0.5482839620000001,December,2015,6099.0,1,3,2
CB,1042.0,M&E,447024.9218,-0.5482839620000001,December,2016,6099.0,1,3,2
CB,1043.0,M&E,58456.41414,-0.5482839620000001,December,2015,6099.0,1,3,2
CB,1043.0,M&E,374318.2227,-0.5482839620000001,December,2016,6099.0,1,3,2
CB,1044.0,F&P,15460.8576,-0.59842733,December,2015,6373.0,1,2,2
CB,1044.0,F&P,106203.4131,-0.59842733,December,2016,6373.0,1,2,2
NI,1071.0,T&R,360426.7547,1.528726399,December,2015,3492.0,2,6,2
NI,1071.0,T&R,2332416.722,1.528726399,December,2016,3492.0,2,6,2
NI,1090.0,M&E,6332.276999999999,-0.577914489,December,2015,6099.0,2,3,2
NI,1090.0,M&E,11459.465970000001,-0.577914489,December,2016,6099.0,2,3,2
CB,1095.0,F&P,10362.81835,-0.600047373,December,2015,6373.0,1,2,2
CB,1095.0,F&P,11788.744920000001,-0.600047373,December,2016,6373.0,1,2,2
OX,1098.0,MD,9751.638071,-0.55194918,December,2016,2085.0,3,4,2
NI,1099.0,M&E,202241.8538,-0.38278445899999997,December,2015,1386.0,2,3,2
NI,1099.0,M&E,699124.3184,-0.38278445899999997,December,2016,1386.0,2,3,2
OX,1100.0,MD,355.781983,-0.579988151,December,2015,5295.0,3,4,2
OX,1100.0,MD,8851.139633,-0.579988151,December,2016,5295.0,3,4,2
NI,1106.0,T&R,336825.165,4.276620451,December,2015,7574.0,2,6,2
NI,1107.0,T&R,137062.4781,-0.388741622,December,2015,5287.0,2,6,2
NI,1107.0,T&R,195592.6231,-0.388741622,December,2016,5287.0,2,6,2
NI,1111.0,F&P,25913.88734,-0.505484568,December,2015,6370.0,2,2,2
NI,1111.0,F&P,78251.94,-0.505484568,December,2016,6370.0,2,2,2
CB,1112.0,F&P,6273.336646,-0.5908087329999999,December,2015,1174.0,1,2,2
CB,1112.0,F&P,10521.46932,-0.5908087329999999,December,2016,1174.0,1,2,2
OX,1116.0,MD,34934.05195,-0.542085947,December,2015,6096.0,3,4,2
OX,1116.0,MD,77286.98386000001,-0.542085947,December,2016,6096.0,3,4,2
OX,1117.0,MD,1618.0215640000001,-0.542085947,December,2015,6096.0,3,4,2
OX,1117.0,MD,55795.875270000004,-0.542085947,December,2016,6096.0,3,4,2
OX,1119.0,MD,20220.5952,-0.5767628379999999,December,2016,1599.0,3,4,2
OX,1119.0,MD,26683.35639,-0.5767628379999999,December,2015,1599.0,3,4,2
NI,1124.0,T&R,174841.288,0.369085137,December,2015,5287.0,2,6,2
NI,1124.0,T&R,511736.6064,0.369085137,December,2016,5287.0,2,6,2
NI,1125.0,T&R,8650.072,0.369085137,December,2015,5287.0,2,6,2
NI,1125.0,T&R,27504.5704,0.369085137,December,2016,5287.0,2,6,2
NI,1126.0,T&R,148657.7854,0.369085137,December,2015,5287.0,2,6,2
NI,1126.0,T&R,212139.5045,0.369085137,December,2016,5287.0,2,6,2
NI,1136.0,F&P,16463.64259,-0.591397701,December,2016,6275.0,2,2,2
NI,1136.0,F&P,381237.2985,-0.591397701,December,2015,6275.0,2,2,2
OX,15.0,Others,36690.263210000005,0.148744522,November,2016,1098.0,3,5,9
OX,15.0,Others,100104.7961,0.148744522,November,2015,1098.0,3,5,9
NI,19.0,Chemicals,25198.33097,1.311563185,November,2015,6099.0,2,1,9
NI,19.0,Chemicals,29885.927330000002,1.311563185,November,2016,6099.0,2,1,9
NI,50.0,T&R,537609.9073,-0.216252387,November,2015,1386.0,2,6,9
NI,58.0,F&P,34944.315039999994,-0.5493979520000001,November,2015,1284.0,2,2,9
NI,58.0,F&P,36676.896069999995,-0.5493979520000001,November,2016,1284.0,2,2,9
AR,66.0,Others,40705.91595,2.20539035,November,2015,5288.0,0,5,9
AR,66.0,Others,469782.6214,2.20539035,November,2016,5288.0,0,5,9
NI,103.0,T&R,272452.9022,-0.248480234,November,2015,5690.0,2,6,9
NI,133.0,F&P,23308.12423,-0.48359058200000005,November,2015,6373.0,2,2,9
NI,133.0,F&P,58208.04987,-0.48359058200000005,November,2016,6373.0,2,2,9
NI,144.0,Others,87097.50142999999,0.44793793,November,2015,1098.0,2,5,9
NI,145.0,T&R,157372.0884,1.528726399,November,2015,3492.0,2,6,9
NI,148.0,T&R,324026.0388,-0.388741622,November,2016,5287.0,2,6,9
